CustomerID,TotalOrder,TotalRevenue,FirstPurchase,LastPurchase,Customer_lifetime,AvgOrderValue,PurchaseFrequency,CLV,CLV_Segment,DaysSinceLastPurchase,Churn,Churn_Probability,CLV_Normalized,Retention_Priority_Score,Retention_Priority_Rank
12346.0,1,77183.6,2011-01-18 10:01:00,2011-01-18 10:01:00,1,77183.6,365.0,77183.6,High Value,325,1,6.080190309389053e-06,0.2754529415702983,1.674806306028437e-06,2925.0
12347.0,7,4310.0,2010-12-07 14:57:00,2011-12-07 15:52:00,365,615.71,7.0,4309.97,High Value,1,0,3.291632149376103e-05,0.01538142707232804,5.062999985455893e-07,3578.0
12348.0,4,1797.24,2010-12-16 19:09:00,2011-09-25 13:13:00,282,449.31,5.177304964539007,1797.2400000000002,High Value,74,0,0.09889526812559433,0.0064139926708238915,0.0006343135249367257,1158.0
12349.0,1,1757.55,2011-11-21 09:51:00,2011-11-21 09:51:00,1,1757.55,365.0,1757.55,High Value,18,0,0.00013125720361868031,0.006272346942315177,8.232907197744701e-07,3307.0
12350.0,1,334.4,2011-02-02 16:01:00,2011-02-02 16:01:00,1,334.4,365.0,334.4,Low Value,309,1,0.9999999999197149,0.00119340719610264,0.0011934071960068271,733.0
12352.0,8,2506.04,2011-02-16 12:33:00,2011-11-03 14:37:00,260,313.26,11.230769230769232,2506.0800000000004,High Value,35,0,0.001575522848210385,0.008943701872036199,1.4091006646975023e-05,2204.0
12353.0,1,89.0,2011-05-19 17:47:00,2011-05-19 17:47:00,1,89.0,365.0,89.0,Low Value,203,1,0.9999931400197353,0.0003176233267139204,0.00031762114782416754,1518.0
12354.0,1,1079.4,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,365.0,1079.4,Medium Value,231,1,0.9999994665595854,0.003852164256797817,0.0038521622018977187,165.0
12355.0,1,459.4,2011-05-09 13:49:00,2011-05-09 13:49:00,1,459.4,365.0,459.4,Medium Value,213,1,0.9999972224916264,0.0016395073740716295,0.0016395028203261693,526.0
12356.0,3,2811.43,2011-01-18 09:50:00,2011-11-17 08:40:00,302,937.14,3.6258278145695364,2811.42,High Value,22,0,0.00031540561688149293,0.010033399698764607,3.1645906214074363e-06,2664.0
12357.0,1,6207.67,2011-11-06 16:07:00,2011-11-06 16:07:00,1,6207.67,365.0,6207.669999999999,High Value,32,0,7.015887250794613e-05,0.022153941534182046,1.5542955596451706e-06,2960.0
12358.0,2,1168.06,2011-07-12 10:04:00,2011-12-08 10:26:00,149,584.03,4.899328859060403,1168.0600000000002,Medium Value,1,0,4.3740633327271396e-05,0.004168574191027662,1.8233607518726795e-07,4078.0
12359.0,4,6372.58,2011-01-12 12:43:00,2011-10-13 12:47:00,274,1593.14,5.328467153284671,6372.5599999999995,High Value,7,0,4.507963869365049e-05,0.0227424012009445,1.025219229164621e-06,3170.0
12360.0,3,2662.06,2011-05-23 09:43:00,2011-10-18 15:22:00,148,887.35,7.398648648648649,2662.05,High Value,51,0,0.008191472933804216,0.009500327830098784,7.782167828252113e-05,1831.0
12361.0,1,189.9,2011-02-25 13:51:00,2011-02-25 13:51:00,1,189.9,365.0,189.9,Low Value,286,1,0.99999999909709,0.0006777153903704886,0.0006777153897585726,1115.0
12362.0,10,5226.23,2011-02-17 10:30:00,2011-12-06 15:40:00,292,522.62,12.5,5226.2,High Value,2,0,3.734576723725365e-05,0.018651270000812254,6.965459881295061e-07,3396.0
12363.0,2,552.0,2011-04-11 13:29:00,2011-08-22 10:18:00,132,276.0,5.53030303030303,552.0,Medium Value,109,1,0.8596481134473811,0.001969978385911057,0.001693488202980557,514.0
12364.0,4,1313.1,2011-08-19 15:24:00,2011-12-02 10:22:00,104,328.28,14.03846153846154,1313.1200000000001,High Value,7,0,9.237335078347574e-05,0.004686264525557114,4.3288595688344584e-07,3666.0
12365.0,2,641.38,2011-02-21 13:51:00,2011-02-21 14:04:00,1,320.69,730.0,641.38,Medium Value,290,1,0.9999999991330457,0.002288957857166003,0.0022889578551815812,336.0
12367.0,1,168.9,2011-12-05 16:48:00,2011-12-05 16:48:00,1,168.9,365.0,168.9,Low Value,3,0,5.560168393090945e-05,0.0006027705604716984,3.3515058186204515e-08,4319.0
12370.0,4,3545.69,2010-12-14 12:58:00,2011-10-19 14:51:00,309,886.42,4.724919093851133,3545.68,High Value,50,0,0.00645893041460706,0.012653827832168688,8.173019344639567e-05,1824.0
12371.0,2,1887.96,2011-10-11 10:43:00,2011-10-26 10:16:00,14,943.98,52.14285714285714,1887.9599999999998,High Value,44,0,0.004056257128293136,0.006737754335986664,2.7330064054033895e-05,2055.0
12372.0,3,1298.04,2011-02-16 12:46:00,2011-09-29 12:12:00,224,432.68,4.888392857142857,1298.04,High Value,71,0,0.07853034435530169,0.004632447000086935,0.00036378765812451134,1467.0
12373.0,1,364.6,2011-02-01 13:10:00,2011-02-01 13:10:00,1,364.6,365.0,364.6,Low Value,310,1,0.9999999999268965,0.001301184999099948,0.001301184999004827,670.0
12374.0,1,742.9300000000001,2011-11-14 15:37:00,2011-11-14 15:37:00,1,742.93,365.0,742.9299999999998,Medium Value,24,0,0.0004093941184234076,0.002651369641748009,1.0854551370980123e-06,3135.0
12375.0,2,457.5,2011-09-02 14:23:00,2011-11-29 10:36:00,87,228.75,8.39080459770115,457.50000000000006,Medium Value,2,0,6.015183484484545e-05,0.001632726651366501,9.821150387977533e-08,4218.0
12377.0,2,1628.12,2010-12-20 09:37:00,2011-01-28 15:45:00,39,814.06,18.71794871794872,1628.12,High Value,314,1,0.9999999999536873,0.005810436974038967,0.00581043697376987,85.0
12378.0,1,4008.62,2011-08-02 10:34:00,2011-08-02 10:34:00,1,4008.62,365.0,4008.6200000000003,High Value,129,1,0.8800913909717004,0.014305968763280401,0.012590559948073145,17.0
12379.0,2,852.24,2011-06-22 16:32:00,2011-09-19 10:09:00,88,426.12,8.295454545454545,852.2399999999999,Medium Value,81,0,0.22046049876247992,0.003041475325378331,0.0006705251672066828,1122.0
12380.0,4,2724.81,2011-06-07 09:49:00,2011-11-18 11:27:00,164,681.2,8.902439024390244,2724.8,High Value,21,0,0.0003418930654225154,0.009724270119439217,3.324660520131644e-06,2653.0
12381.0,5,1845.31,2011-08-12 09:57:00,2011-12-05 12:44:00,115,369.06,15.869565217391305,1845.3,High Value,4,0,6.333769779203342e-05,0.006585509267249407,4.171109957756784e-07,3694.0
12383.0,5,1850.56,2010-12-22 14:28:00,2011-06-08 08:02:00,167,370.11,10.928143712574851,1850.5500000000004,High Value,184,1,0.9999437089143093,0.006604245474724107,0.006603873714576167,63.0
12384.0,2,585.27,2011-08-10 11:23:00,2011-11-11 08:39:00,92,292.64,7.934782608695652,585.28,Medium Value,28,0,0.0009692269791155637,0.0020887480972935205,2.0244710084731803e-06,2848.0
12386.0,2,401.9,2010-12-08 09:53:00,2011-01-06 12:37:00,29,200.95,25.17241379310345,401.9,Medium Value,337,1,0.9999999999971443,0.0014343012922058943,0.0014343012922017984,611.0
12388.0,6,2780.66,2011-01-17 11:12:00,2011-11-24 12:30:00,311,463.44,7.041800643086817,2780.6400000000003,High Value,15,0,0.00017128247493511663,0.009923551990941524,1.6997305451557683e-06,2918.0
12390.0,1,549.84,2011-09-21 09:33:00,2011-09-21 09:33:00,1,549.84,365.0,549.84,Medium Value,79,0,0.14752739969367262,0.001962269774835753,0.0002894885573790071,1539.0
12391.0,1,460.89,2011-11-18 12:07:00,2011-11-18 12:07:00,1,460.89,365.0,460.89000000000004,Medium Value,21,0,0.0003389209488315134,0.00164482488819302,5.574656117680663e-07,3517.0
12393.0,4,1582.6000000000001,2011-01-11 09:47:00,2011-09-28 15:41:00,260,395.65,5.615384615384616,1582.6,High Value,71,0,0.07629242259697702,0.00564798513322978,0.00043089846860580995,1380.0
12394.0,2,1272.48,2011-05-06 14:01:00,2011-10-07 08:08:00,153,636.24,4.771241830065359,1272.4799999999998,High Value,63,0,0.03376839264605226,0.004541228435695836,0.00015334998491199468,1697.0
12395.0,12,3018.63,2010-12-03 16:35:00,2011-11-20 15:21:00,351,251.55,12.47863247863248,3018.600000000001,High Value,15,0,0.00015909556736235785,0.010772783977737533,1.713902179010271e-06,2914.0
12397.0,2,2409.9,2011-07-27 14:21:00,2011-11-04 09:52:00,99,1204.95,7.373737373737375,2409.9000000000005,High Value,35,0,0.0013266840706091393,0.008600454551099741,1.1410086052941902e-05,2263.0
12398.0,1,1635.6599999999999,2011-10-25 10:27:00,2011-10-25 10:27:00,1,1635.66,365.0,1635.66,High Value,45,0,0.0025809961475402156,0.0058373457367740566,1.5066166858474142e-05,2187.0
12399.0,4,1108.65,2011-03-23 09:42:00,2011-08-12 13:15:00,142,277.16,10.28169014084507,1108.64,Medium Value,118,1,0.9386133634937281,0.0039565160104283225,0.0037136388002649142,181.0
